paper_year,paper_id,paper_title,paper_authors,paper_language,citation_id,citation_info,citation_year,citation_validity,citation_origin,citation_type,citation_scope,citation_longevity
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,14,"Coimbra, Danilo B., Rafael M. Martins, Tácito TAT Neves, Alexandru C. Telea, and Fernando V. Paulovich. ""Explaining three-dimensional dimensionality reduction plots."" Information Visualization 15, no. 2 (2016): 154-172.",2016,valid,community_nat,journal,international,6
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,15,"Tajedin, Hamed, and Dorit Nevo. ""Determinants of success in crowdsourcing software development."" In Proceedings of the 2013 annual conference on Computers and people research, pp. 173-178. 2013.",2013,valid,community_int,conference,international,3
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,16,"Corbucci, Hugo, Alfredo Goldman, Eduardo Katayama, Fabio Kon, Claudia Melo, and Viviane Santos. ""Genesis and Evolution of the Agile Movement in Brazil--Perspective from Academia and Industry."" In 2011 25th Brazilian Symposium on Software Engineering, pp. 98-107. IEEE, 2011.",2011,valid,self,conference,national_sbes,1
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,17,"Ordiales Coscia, Jose Luis, Cristian Mateos, Marco Crasso, and Alejandro Zunino. ""Anti-pattern free code-first web services for state-of-the-art Java WSDL generation tools."" International Journal of Web and Grid Services 9, no. 2 (2013): 107-126.",2013,valid,community_int,journal,international,3
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,18,"Ordiales Coscia, José Luis, Marco Crasso, Cristian Mateos, and Alejandro Zunino. ""Web service interface quality through conventional object-oriented metrics."" CLEI Electronic Journal 16, no. 1 (2013): 5-5.",2013,valid,community_int,journal,international,3
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,19,"Kon, Fabio, Paulo Meirelles, Nelson Lago, Antonio Terceiro, Christina Chavez, and Manoel Mendonça. ""Free and open source software development and research: Opportunities for software engineering."" In 2011 25th Brazilian Symposium on Software Engineering, pp. 82-91. IEEE, 2011.",2011,valid,self,conference,national_sbes,1
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,20,"Steinmacher, Igor, Tayana Uchôa Conte, and Marco Aurélio Gerosa. ""Understanding and supporting the choice of an appropriate task to start with in open source software communities."" In 2015 48th Hawaii International Conference on System Sciences, pp. 5299-5308. IEEE, 2015.",2015,valid,community_nat,conference,international,5
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,21,"Kwon, Gisik, and Kyung Dong Ryu. ""Bypass: topology-aware lookup overlay for DHT-based P2P file locating services."" In Proceedings. Tenth International Conference on Parallel and Distributed Systems, 2004. ICPADS 2004., pp. 297-304. IEEE, 2004.",2004,invalid,community_int,conference,international,
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,22,"Fronchetti, Felipe, Igor Wiese, Gustavo Pinto, and Igor Steinmacher. ""What attracts newcomers to onboard on oss projects? tl; dr: Popularity."" In IFIP International Conference on Open Source Systems, pp. 91-103. Springer, Cham, 2019.",2019,valid,community_nat,conference,international,9
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,23,"Silva, Jefferson O., Igor Wiese, Daniel M. German, Christoph Treude, Marco A. Gerosa, and Igor Steinmacher. ""Google summer of code: Student motivations and contributions."" Journal of Systems and Software 162 (2020): 110487.",2020,valid,community_nat,journal,international,10
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,24,"Kruiger, Johannes F., Almoctar Hassoumi, Hans-Jörg Schulz, AlexandruC Telea, and Christophe Hurter. ""Multidimensional data exploration by explicitly controlled animation."" In Informatics, vol. 4, no. 3, p. 26. Multidisciplinary Digital Publishing Institute, 2017.",2017,valid,community_int,journal,international,7
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,25,"Hegedűs, Péter, Gergely Ladányi, István Siket, and Rudolf Ferenc. ""Towards building method level maintainability models based on expert evaluations."" In Computer Applications for Software Engineering, Disaster Recovery, and Business Continuity, pp. 146-154. Springer, Berlin, Heidelberg, 2012.",2012,valid,community_int,journal,international,2
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,26,"Gezici, Bahar, Ayça Tarhan, and Oumout Chouseinoglou. ""Internal and external quality in the evolution of mobile software: An exploratory study in open-source market."" Information and Software Technology 112 (2019): 178-200.",2019,valid,community_int,journal,international,9
